"","tweets","location","Score","Sentiment"
"29","smartchapno indiatoday iindrojit mamataofficial ncbn yadavakhilesh mayawati rahulgandhi hdkumaraswamy bhupendrachaube republic timesnow shatrugansinha arvindkejriwal shehzadind why deshdrohi sanghis always seek certificates from white foreigners  inferiority complex of rss since days of hedgewar golwalkar is sickening","Maharashtra, India",-0.6,"negative"
"30","smartchapno indiatoday iindrojit mamataofficial ncbn yadavakhilesh mayawati rahulgandhi hdkumaraswamy bhupendrachaube republic timesnow shatrugansinha arvindkejriwal shehzadind who are people behind murder of gauri lankesh  sanatan sanstha  saffron terto group  dont need bigots  communal forces to destroy indias unity","Maharashtra, India",-1,"negative"
"31","smartchapno indiatoday iindrojit mamataofficial ncbn yadavakhilesh mayawati rahulgandhi hdkumaraswamy bhupendrachaube republic timesnow shatrugansinha arvindkejriwal shehzadind  triple talak law is appeasing muslims muktars heptullahs akbars are trophies for bjpindia  to fetch votes licking mullahs in dubai  tehran  lahore  riyadh is also appeasement of mudlims by modi bjp supported akalis who consider bhindrenwale as martyr  ","Maharashtra, India",0.95,"positive"
"32","smartchapno indiatoday iindrojit mamataofficial ncbn yadavakhilesh mayawati rahulgandhi hdkumaraswamy bhupendrachaube republic timesnow shatrugansinha arvindkejriwal shehzadind modi never criticised lynchings  or attacks on dalits or political murders of dabholkar  kalburgi or gauri  instead modi licked feet of bhide who attacked dalits in pune  utter shameful on modi to behave in communal manner","Maharashtra, India",-3.75,"negative"
"33","smartchapno indiatoday iindrojit mamataofficial ncbn yadavakhilesh mayawati rahulgandhi hdkumaraswamy bhupendrachaube republic timesnow shatrugansinha arvindkejriwal shehzadind when pm of india supports lynchings in name of hindu religion  shows communal and fascist ideology  demo and half baked gst roll out shows tuqalakism amp incompetency of modi sarkarjoblesdness has increased in last  years dont need lectures from foreigners","Maharashtra, India",0.25,"positive"
"34","thanks ncbn for making this happen industries in andhra pradesh r distributed across the entire state  example of decentralized developmentpeople should understand the only reason this to happen is nara chandrababu naidu if he is our cm  more yrs our future will be bright  half baked gst roll out shows tuqalakism amp incompetency of modi sarkarjoblesdness has increased in last  years dont need lectures from foreigners","",2.2,"positive"
"35","we should win majority seats in eastgodavari egodavarigoap bewithbabu ncbn ","",0.75,"positive"
"36","ncbn good presence of all leaders on one stage modilies modimadedisaster modimurderingindianarmy bjpcheatedap unitedindiarally unitedindiaatbrigade apwithcbn ncbnmamataofficial bewithbabu andhrapradeshcm mallinuvveravali prajarajadhani ncbnforap jaitdp cbn","",1.15,"positive"
"37","anantapurgoap very goodnaralokesh naralokesh ncbnforap ncbndisaster modimurderingindianarmy bjpcheatedap unitedindiarally unitedindiaatbrigade apwithcbn ncbnmamataofficial bewithbabu andhrapradeshcm mallinuvveravali prajarajadhani ncbnforap jaitdp cbn","",0,"neutral"
"38","we are doing good interms of energy departmentbewithbabu ncbn ","",0.75,"positive"
"39","ncbn keerthyofficial nagashwin you are always supports movie industry ncbn","",0.5,"positive"
"40","ncbn sounds goodbewithbabu ncbn","",0,"neutral"
"41","naralokesh indigoe vijaywada shoule be develop under ncbnforap ncbn naralokesh naralokesh","",0.1,"positive"
"42","ncbn ap is the rolemodel for governancertg ncbn rtgs andhrapradeshcm bewithbabu ncbn unitedindiaatbrigade jaitdp mamataofficial","",0,"neutral"
"43","naralokesh good worknaralokesh naralokesh ncbn andhrapradeshcm jaitdp","",0.75,"positive"
"44","naralokesh west godavari westgodavarirtg wgodavarigoap is the role model for manythings in apbewithbabu ncbn naralokesh naralokesh","",0.4,"positive"
"45","gnana dhaara is a targeted remedial teaching program which uses playway method along with cocurricular activities like music sports and theater to help students overcome academic difficulties bewithbabu ncbn ","",0.85,"positive"
"46","ncbn save chairsave corruption your toddler is having crores of rupees property you are a no corrupt politician you ditched ntr alsohow can people trust you","",-0.25,"negative"
"47","thandhra thehindu bjpindia ncbn india dont think like that  recently created group of political parties might think so though not seen such fear of somebody namo in entire opposition in entire free india history hail mr modi  despite cutthroat differences  you made them come together lol","",-0.25,"negative"
"48","thandhra thehindu bjpindia ncbn yes india needs a dynamic knowledgeable skillful  clean handed pm","Pondicherry, India",3.15,"positive"
"49","ncbn this is mahagathbandha of all the thefts of nations","",0,"neutral"
"50","it seems like rahulgandhi now has competitionwhile speaking at the unitedantinationalsatbrigade andhra pradesh chief minister ncbn refers to rafale fighter jets as jet airwayswatch ","",0.5,"positive"
"51","kiranpatniak dramsinghvi yadavakhilesh mayawati aamaadmiparty mamataofficial ncbn hdkumaraswamy evmanti citizenspov evmban are we really the largest democracy nation except those who have vested interests in evms has been demanding  but the demand is swept under the carpet banevm evmkillsdemocracy ajitkumarkanan aobservr naveenkrshahi desistupides niranjantripa ","New Delhi, India",-0.1,"negative"
"52","ncbn  one of ur great achievement ","",1,"positive"
"53","ncbn dont take school bus for your party purpose","",0,"neutral"
"54","ncbn gunturgoap just tell us one use of it ","",0,"neutral"
"55","proudsecular indiatoday iindrojit mamataofficial ncbn yadavakhilesh mayawati rahulgandhi hdkumaraswamy bhupendrachaube republic timesnow shatrugansinha arvindkejriwal shehzadind prove one plz","Mumbai, India",0.6,"positive"
"56","proudsecular indiatoday iindrojit mamataofficial ncbn yadavakhilesh mayawati rahulgandhi hdkumaraswamy bhupendrachaube republic timesnow shatrugansinha arvindkejriwal shehzadind foreigner i am sure u r one of them","Mumbai, India",-0.25,"negative"
"57","proudsecular indiatoday iindrojit mamataofficial ncbn yadavakhilesh mayawati rahulgandhi hdkumaraswamy bhupendrachaube republic timesnow shatrugansinha arvindkejriwal shehzadind gauri lankesh ur siddharamaih ask him best person to answer if for  years ur papu s party worked today india wouldnt have had modi","Mumbai, India",0.75,"positive"
"58","proudsecular indiatoday iindrojit mamataofficial ncbn yadavakhilesh mayawati rahulgandhi hdkumaraswamy bhupendrachaube republic timesnow shatrugansinha arvindkejriwal shehzadind wait and watch my friend its not sang his its indians jai hind bharat mata ki jai","Mumbai, India",0.55,"positive"
"59","proudsecular indiatoday iindrojit mamataofficial ncbn yadavakhilesh mayawati rahulgandhi hdkumaraswamy bhupendrachaube republic timesnow shatrugansinha arvindkejriwal shehzadind lynching is political hindus also lynched demonetisation black money of kashmir stone pelting stopped  gst is process which u may not understand regarding job creation listen to this ","Mumbai, India",-0.05,"negative"
"60","proudsecular indiatoday iindrojit mamataofficial ncbn yadavakhilesh mayawati rahulgandhi hdkumaraswamy bhupendrachaube republic timesnow shatrugansinha arvindkejriwal shehzadind ur imaginations pm never ever supported lynching in fact ur party did karnataka on media kumaraswamy proved and said to kill whoever is responsible kerala pinarayi killed hindu cadres cong party and u without any truth use cambridge analytics to spread lies wait  is coming","Mumbai, India",-0.5,"negative"
"61","proudsecular indiatoday iindrojit mamataofficial ncbn yadavakhilesh mayawati rahulgandhi hdkumaraswamy bhupendrachaube republic timesnow shatrugansinha arvindkejriwal shehzadind well for  years u have divided silently appeasing muslims dividing hindus on caste u have massacred sikhs raked burnt killed pandits free escape to anderson corruption at its peak","Mumbai, India",-0.35,"negative"
"62","shashitharoor incindia because no one has guts to fight alone its clear proof that no party can defeat modi bengal is appeasing muslims hindus pooja s r stopped  parties are against because non can make money no power no corruption in modis bjp mamataofficial yadavakhilesh ncbn pawarspeaks","Mumbai, India",-1.1,"negative"
"63","guys have u heard mamta banerjee stating bjp has only one pm one party president truth is spoken mahagatbhandan has  pms amp  president turn by turn in  years they be pm and president  this is what india is for them mamataofficial ncbn mayawati yadavakhilesh rahulgandhi","Mumbai, India",1,"positive"
"64","ncbn i started doubting that after i see telugu desam becoming friends with congress which only believed in manipulating and cheating people all these decades","Hyderabad, India",-2.3,"negative"
"65","thandhra thehindu bjpindia ncbn a strong center can help states prosper better by providing peace in the country and with good policy and implementation support at higher level gst is an examplehoping to have better bargaining power with a weak center doesnt seem appropriate you know better sir","Hyderabad, India",6,"positive"
"66","ncbn gunturgoap you are doing great i always knew in combined ap then and smaller ap now you are a blessing to telugu people with your vision dedication and hard work we admire you but i cant support the idea of siding with thieves because we are angry with centre","Hyderabad, India",2,"positive"
"67","bsrinivas ncbn ita valid for those who knows the trend of indian politics wr r u frm","somewhere in india",0.4,"positive"
"68","naralolesh yeswanth ncbn pawankalyan yes pk is tdp puppet whats so wrong","somewhere in india",0.05,"positive"
"69","devineniavi naralokesh ncbn devineniuma jaitdp kesineninani rammnk abntelugutv gantasrinivasa tdptrending bangaloretdp congratulationscation and hard work we admire you but i cant support the idea of siding with thieves because we are angry with centre","somewhere in india",-0.25,"negative"
"70","ursravindrababu yeswanth brady tvofficial kapaulofficial ncbn umasudhir ysjagan rbd dont get strain take a break ap ppl kw very well about the leaders of the state thataway they elected the correct person","somewhere in india",0.55,"positive"
"71","ursravindrababu yeswanth brady tvofficial kapaulofficial ncbn umasudhir ysjagan u never get a chance to buy drinks  bz its jagan xprt in selfgoals","somewhere in india",0.25,"positive"
"72","yeswanth tvofficial kapaulofficial ncbn umasudhir bro you count on hmmm cheepthrills","somewhere in india",0,"neutral"
"73","kpulusu ncbn mamataofficial narendramodi how how","somewhere in india",0,"neutral"
"74","areabhijnan shiva ncbn mamataofficial narendramodi hey really then go with bjp which dont want to give special status you unprofessional trollers","somewhere in india",-0.2,"negative"
"75","rajuazmeera ncbn mamataofficial narendramodi mister low minded nayak fst clean ur dirty mouth before talking about cm","somewhere in india",0,"neutral"
"76","itsrajjj ncbn mamataofficial narendramodi mister great raju ur logic is very poor","somewhere in india",0,"neutral"
"77","yeswanth tvofficial kapaulofficial ncbn umasudhir then dont you ashamed of his coments that jagan is a thief he looted lot of money","somewhere in india",-1.4,"negative"
"78","vchrao ncbn mamataofficial narendramodi best of luck yar","somewhere in india",1.25,"positive"
"79","devineniavi naralokesh ncbn jaitdp kesineninani devineniuma rammnk abntelugutv gantasrinivasa jaygalla tdptrending congratulations anna","somewhere in india",0.75,"positive"
"80","ursravindrababu yeswanth brady tvofficial kapaulofficial ncbn umasudhir ysjagan fst njoy the break bro its lessthan months to renew the period","somewhere in india",-0.25,"negative"
"81","yeswanth tvofficial kapaulofficial ncbn umasudhir he said it in this month of span","somewhere in india",0,"neutral"
"82","kpulusu ncbn mamataofficial narendramodi k then rest in jail to jagan","somewhere in india",-0.8,"negative"
"83","naren ncbn mamataofficial narendramodi hey mister why you mention ur dp variations here","somewhere in india",0,"neutral"
"84","svathyam ncbn mamataofficial narendramodi dnt talk about jagan","somewhere in india",0.4,"positive"
"85","balapra ncbn mamataofficial narendramodi best of luck","somewhere in india",1.25,"positive"
"86","shiva ncbn mamataofficial narendramodi so those are clam thy bcm nothing","somewhere in india",0,"neutral"
"87","yeswanth tvofficial kapaulofficial ncbn umasudhir ita secondary fst you admit pauls statement on jagan","somewhere in india",0.6,"positive"
"88","devineniavi ncbn naralokesh jaitdp kesineninani devineniuma rammnk abntelugutv gantasrinivasa jaygalla tdptrending congratulations anna ers of the state thataway they elected the correct person","somewhere in india",1.35,"positive"
"89","thank you manekagandhibjp ministrywcd rsprasad narendramodiin ncbn for womenempowermenthusband brutally murdered by wife relatives diedmetoo metooindia feminism feminismresults feminismeffects","India",-1.5,"negative"
"90","thank you manekagandhibjp ministrywcd rsprasad narendramodiin ktrtrs ncbn bjpindia sheteamtweets for womenempowermentadulterywife killed fatherinlaw who opposes her affairmetoo mentoo feminism feminismresults","India",0,"neutral"
"91","anilprongs ncbn he knew trs was sweeping no question about that","New Delhi",0,"neutral"
"92","httweets ncbn only just b coz special status is not given to apbabu is speaking wrongly leader of your stature should not speak like this shameless babu","Chennai",0.55,"positive"
"93","ncbn new scheme tdpfakepromise to people of andhrapradesh ","Hyderabad, India",0.7,"positive"
"94","sathishreddy ysjagan ncbn trspartyonline i dont know ncbn joined hands with trs sir","peddapalli,karimnagar",0.85,"positive"
"95","dear ysjagan sir if you want to make a big sound for specialstatus of ap you can collaborate with ncbn but why did you join hands with trspartyonline ","peddapalli,karimnagar",1.25,"positive"
"96","thandhra thehindu bjpindia ncbn power hungry cbn set to lose his reputatiom if he ends up going on this path of bs","Vitória, Brazil",-0.5,"negative"
"97","kiyg its the time for andhra archery champ at kheloindia bommadevara dhiraj sailed into  finals in u men archery tournment of kheloindiayouthgames  congrats amp allthebest champion may the victory be yours vcmdsaap saap sportsinap kollurofficial ncbn ","Vijayawada, India",3.25,"positive"
"98","kiygmany congratulations to ap boxing champ jyothi swaroop for clinching bronze in u kg category boxing event of kheloindiayouthgames   keep going champion you made ap proudvcmdsaap kheloindia rathore kollurofficial ncbn bfiofficial saap ","Vijayawada, India",2.25,"positive"
"99","kiyggold for andhrapradesh a truly spectacular performance by andhrachamp m lohith clinched gold in m breast stroke with the timing sec at kheloindiayouthgames congratulations champion vcmdsaap ncbn kheloindia rathore kollurofficial saap ","Vijayawada, India",2.7,"positive"
"100","hockey practice session at vizianagaram dsa grounds under the grounding of coach rambabu garu vcmdsaap ncbn hockeyindialeag vzmgoap saap sportsinap sportsforhappiness vizianagaram ","Vijayawada, India",0.4,"positive"
"101","kiygone more medal for ap reddy gayatri shined with silver in u girls kg at weightlifting competitions of  kheloindiayouthgames congratulations champion you made andhra proud vcmdsaap ncbn rathore kollurofficial kmmalleswari saap sportsinap ","Vijayawada, India",2.25,"positive"
"102","andhra champ lhari priya bagged st place in u  category of sgf carrom nationals which was held at tiruppur tamilnadu congratulations champncbn vcmdsaap sgfindia mediasa saap sportsinap andhrapradesh ","Vijayawada, India",1.75,"positive"
"103","kiyg many congratulations to u andhrapradesh boys team for clinching silver in khokho event of kheloindiayouthgames   champions made andhrapradesh proud vcmdsaapkheloindia srikidambi kmmalleswari rathore ncbn kollurofficial saap sportsinap ","Vijayawada, India",1.5,"positive"
"104","kiyg one more gold for ap vishnuvardhan bandari crowned gold in u kg category weightlifting event of kheloindiayouthgamescongratulations champion you made ap is proudvcmdsaapncbn rathorekollurofficial kheloindia kmmalleswari saap ","Vijayawada, India",1.6,"positive"
"105","many congratulations to u andhrapradesh boys  khokho team for sailing into finals of kheloindiayouthgames final action will take against maharashtra goodluck andhrachamps may the victory be yoursvcmdsaap kollurofficial ncbn rathore kheloindia saap ","Vijayawada, India",1.75,"positive"
"106","andhra judo star ashwini from chittoor district shined with bronze in the  category of th national level school games u  judo championship which was held at jharkhand congratulations to our andhra pride vcmdsaap intjudofed ncbnsaap sportsinap ","Vijayawada, India",2,"positive"
"107","kiyg its time for andhra archery champ kheloindia kvenkatadri sailed into quarterfinals in u boys compound archery of kheloindiayouthgames  congrats amp allthebest champion may the victory be yours vcmdsaap saap sportsinap kollurofficial ncbn ","Vijayawada, India",3.25,"positive"
"108","kiygmany congratulations to ap boxing champ gramya  for clinching bronze in u kg category boxing event of kheloindiayouthgames   keep going champion you made ap proudvcmdsaap kheloindia rathore kollurofficial ncbn bfiofficial saap ","Vijayawada, India",2.25,"positive"
"109","many congratulations to andhra archery champ for clinching silver in u archery tournament at kheloindiayouthgameswe wish you goodluck to secure more medals in the future competitions amp bring pride to our state and country vcmdsaap ncbn kollurofficial saap ","Vijayawada, India",3.3,"positive"
"110","devarayasri ncbn but pawan is most inconsistent amp untrustworthy ap people would not forget his  march speech on cbn and his marks for kcr  cbn       years          now a laughing stock","Mumbai, India",-0.95,"negative"
"111","ncbn thanks cm  for your forefront initiatives which are giving desired results saluting to youmarch speech on cbn and his marks for kcr  cbn       years          now a laughing stock","Mumbai, India",2.75,"positive"
"112","ncbn sir we also salute you are also a soldier to ap working  hours a day for the uplifting of poor amp improving the prospects of ap soon ap would be no  state in the country          now a laughing stock","Mumbai, India",3.2,"positive"
"113","omarabdullah all these awards are bought by during his foreign trips thats his motive he wants to become famous by using his position and india country cost worst pm of india narendramodi bjpindia incindia mnsadhikrut rssorg ncpspeaks shivsena abpmajhatv ndtv ncbn","",0.25,"positive"
"114","rahulgandhi all these awards are bought by during his foreign trips thats his motive he wants to become famous by using his position and india country cost worst pm of india narendramodi bjpindia incindia mnsadhikrut rssorg ncpspeaks shivsena abpmajhatv ndtv ncbn","",0.25,"positive"
"115","ndtv patel statue and mumbai ahmadabad bullet train shows modi doing his wish list does this help indian citizens modi dont care about common people interest selfish modi bjpindia incindia mnsadhikrut shivsena ncpspeaks abpmajhatv ndtv rssorg ncbn waglenikhil","",1.3,"positive"
"116","ncbn most untrustworthy prime minister of india what a bad luck of all indian citizens to elect this uneducated gujju as pmrahulgandhi incindia mnsadhikrut shivsena ncpspeaks rssorg","",-0.6,"negative"
"117","tulsidasbhoite rajivkhandekar draote ashvinbapat abpmajhatv suniltatkare maharashtrart marathirt marathibrain hashtagmarathi prasannjoshi dnyanada vrushaligyadav vijaysalvi harshadaswakul amolkinholkar patel statue and mumbai ahmadabad bullet train shows modi doing his wish list does this help indian citizens modi dont care about common people interest selfish modi bjpindia incindia mnsadhikrut shivsena ncpspeaks abpmajhatv ndtv rssorg ncbn waglenikhil","",1.3,"positive"
"118","waglenikhil all these awards are bought by during his foreign trips thats his motive he wants to become famous by using his position and india country cost worst pm of india narendramodi bjpindia incindia mnsadhikrut rssorg ncpspeaks shivsena abpmajhatv ndtv ncbn","",0.25,"positive"
"119","dhruvrathee narendramodi corrupt uneducated selfish tourist prime minister of india who works only for his community and friendshatav gujjus patel statue and mumbai ahmadabad bullet train are example bjpindia rssorg shivsena mnsadhikrut ncpspeaks ncbn abpmajhatv ndtv waglenikhil","",-1.35,"negative"
"120","sardesairajdeep kotl narendramodi all these awards are bought by during his foreign trips thats his motive he wants to become famous by using his position and india country cost worst pm of india narendramodi bjpindia incindia mnsadhikrut rssorg ncpspeaks shivsena abpmajhatv ndtv ncbn","",0.25,"positive"
"121","nasamanasa ncbn mamataofficial narendramodi i didnt get it nothing wrong means","PA, USA",-0.75,"negative"
"122","umasudhir andhrapradeshcm ncbn ndtv in couple more months he will be retiring and relax completely","PA, USA",0.4,"positive"
"123","nag ncbn mamataofficial narendramodi wish the same to chandrababu soon","PA, USA",0.05,"positive"
"124","nag ncbn mamataofficial narendramodi same to you","PA, USA",-0.75,"negative"
"125","tigervenkat fasakkkkk well said this freakin experienced vetted politician ncbn has no guts to go to elections alone not even once elevated as visionary by yellow media","PA, USA",1.8,"positive"
"126","syedgho anjivreddy naralokesh youtube do you think ncbn a leader who never went to any single election without coilation elevated by his band media as a visionary who promised moon and earth never fulfilled anything i pity your ignorance","PA, USA",0.8,"positive"
"127","ncbn mamataofficial narendramodi what your point of view in joining with italy mafia sir","",-0.55,"negative"
"128","ncbn andhrapradeshcm apeducation part  dear cm we are a school located in bheemili vizag since yrs we have been imparting value based education affordably to poor students we are a school blessed and inaugurated by none other than sadguru sri sivananda murthy garu","Vishakhapatnam, India",1.8,"positive"
"129","ncbn andhrapradeshcm apeducation  part  of late theres been a dire need of funds to improve infrastructure and use updated technology regarding which we have written a detailed letter to your kind self kindly go through the letter and plz do the needful at the earliest ","Vishakhapatnam, India",0.6,"positive"
"130","fy action myogiadityanath officeofknath ashokgehlot hdkumaraswamy ncbn cmotamilnadu telanganacmo cmomaharashtra cmohry cmoguj cmoodisha ashoksundar bjptamilnadu narayanan hrajabjp suryahsg divyaspandana ","Chennai, India",0.25,"positive"
"131","can any one compile all these golden moments from yesterdays meeting at kolkata this will serve as a long lasting comic show suryahsg bjpindia amitmalviya sharad yadavs bofors  ncbn jet airways and mkstalin bengali speech   at the earliest ","Chennai, India",0.85,"positive"
"132","lathareddy ncbn jaitdp please dm this video","<U+0C35><U+0C46><U+0C32><U+0C3F><U+0C17><U+0C4A><U+0C02><U+0C21> <U+0C2A><U+0C4D><U+0C30><U+0C3E><U+0C1C><U+0C46><U+0C15><U+0C4D><U+0C1F><U+0C41> <U+0C2A><U+0C30><U+0C3F><U+0C27><U+0C3F><U+0C32><U+0C4B> ",1,"positive"
"133","aitcofficial ncbn already shaving up ap  please godown and become cm for wb not for ap","<U+0C35><U+0C46><U+0C32><U+0C3F><U+0C17><U+0C4A><U+0C02><U+0C21> <U+0C2A><U+0C4D><U+0C30><U+0C3E><U+0C1C><U+0C46><U+0C15><U+0C4D><U+0C1F><U+0C41> <U+0C2A><U+0C30><U+0C3F><U+0C27><U+0C3F><U+0C32><U+0C4B> ",1,"positive"
"134","india will do well under a nonbjpindia coalition ncbn invites opposition parties for meet he proposes to hold in amaravati ","Autonagar, Vijayawada, AP",0.4,"positive"
"135","bjpindia duped people failed to keep promises ncbn kolkata  ","Autonagar, Vijayawada, AP",-0.8,"negative"
"136","mkstalin mamataofficial yadavakhilesh ncbn on  january  karunanidhisgovernmentwasdismissedby the centralgovernmentof prime ministerindira gandhinow you support corrupt congress","Port Blair, India",0.1,"positive"
"137","ncbn respected cm sir ap govt has issued appscnotificationin order to apply for that apgovt had made aadhar card mandatory but unfortunately my sister had lost her thumb prints so her aadhar is invalid but she wants to apply for appsckindly solve this issue sir and do needful","",-1.1,"negative"
"138","apxlive pawankalyan jaitdp tdptrending ncbn naralokesh janasenaparty ysrcparty ysjagan why its shock to pawan kalyan sick minded yellomedia","banglore",-1.5,"negative"
"139","mukeshk ncbn secret is made publichow save ourselvesmodi is our friend but he seized all our bmoney cant toleratenot allowing any tips closed all routes using cbi chaseso blocked cbihow to grab scam loot better all like minded defeat modi if doneno worry loot per capacity","vizag ap india",-0.95,"negative"
"140","dkmodgill ncbn from them two enough for kissa kursika for internal fighting horse trading emi likepm per month country people no more nowhere","vizag ap india",-1.05,"negative"
"141","ncbn who is that new pm no answer after election internal squabbles sharing looting blacking fooled arnd yrsno more no chance never dream","vizag ap india",0.5,"positive"
"142","rajendrakambala ncbn why n what for show  lakh in ur grandson acit chases u but g son of yrs cr highest  richest person in d entire family no it so cbi blocked not allowed to probe in d state c most of d contract ministers under lensebeing a citizen can u show ur gson crorepati","vizag ap india",-0.4,"negative"
"143","nationalism ncbn violation differentthis unholy unilateral agenda of defeat modi is cheating people s let parties come closebut defeating modi is unnecessary for citizenlet netas opposing modi come what better they offer to people is must hard earned money spending freebiesdevelopment s","vizag ap india",-2.4,"negative"
"144","kodgedar ncbn narendramodi future political picture now screening  that film not  n never will b censored at least shown picturesquely wall posters through india b exhibited with d above","vizag ap india",-0.8,"negative"
"145","rajendrakambala ncbn when state is corrupt free why central probe hurdled if pure one cannot hide fear any thingironyonly faulters fears hides  scares avoids enquiries let middle class true citizens think support right onesat least best in worestthink well act better i am above parties","vizag ap india",2.35,"positive"
"146","mallemala ysjagan ncbn cogress left ghatabandan searching  for ghatabandan","VIJAYAWADA  AP",0,"neutral"
"147","varaprasadmp killarisrinivas ncbn namaste  dr varaprasad rao garu no principles no ethics pollouted  system no respect  i meet you sir best wishes  be prosperous be successful","VIJAYAWADA  AP",3.95,"positive"
"148","joshuajoe ncbn wait and see my beloved  ysr  dare and dashing hero","VIJAYAWADA  AP",1.75,"positive"
"149","mallemala ncbn ysjagan from the beginning  they are very cleverer than us","VIJAYAWADA  AP",0,"neutral"
"150","botsabsn killarisrinivas ncbn chadrababu naidu  memory  failed","VIJAYAWADA  AP",-0.5,"negative"
"151","gowthamik ncbn mamataofficial respected  mamatha benerjee jee is  very dynamic fire brand  mp she can easily analise","VIJAYAWADA  AP",1.25,"positive"
"152","cherukurikiran killarisrinivas ysjagan ysrcparty ncbn better to leave farming contract outsourching labour vender and messenger is greater than farmer","VIJAYAWADA  AP",1.05,"positive"
"153","vsreddymp jaitdp ncbn i know  better than you about bode prasad who misbehaved with a female  as you said","VIJAYAWADA  AP",0.2,"positive"
