"","tweets","location","Score","Sentiment"
"18","pawankalyan pawankalyan janasena janasenaparty jspsathagni jspcall jspveeramahila jspveeramahilaleadergantaswarupa jspthinktank pawankalyanisalwaysright pawankalyantruthfulpolitics andhrapradeshelections voteforglass suggestion please appoint spokes mahila persons ","Sanjeeva Reddy Nagar, Rajendra",1,"positive"
"19","nadendlamanohar tdp janasena ysrcpjanasenaparty andhrapradesh andhrapradeshelections andhrapradeshelectionswho is the next cm in andhra pradeshchandrababunaidu pawan kalyan y s jagan mohan reddy cant say  votes  final results pm  jan  ","Sanjeeva Reddy Nagar, Rajendra",0.25,"positive"
"20","rukminikota pawankalyan tdp janasena ysrcpjanasenaparty andhrapradesh andhrapradeshelections andhrapradeshelectionswho is the next cm in andhra pradeshchandrababunaidu pawan kalyan y s jagan mohan reddy cant say  votes  final results pm  jan  ","Sanjeeva Reddy Nagar, Rajendra",0.25,"positive"
"21","gnanavarsha pawankalyan tdp janasena ysrcpjanasenaparty andhrapradesh andhrapradeshelections andhrapradeshelectionswho is the next cm in andhra pradeshchandrababunaidu pawan kalyan y s jagan mohan reddy cant say  votes  final results pm  jan  ","Sanjeeva Reddy Nagar, Rajendra",0.25,"positive"
"22","janasenaparty pawankalyan tdp janasena ysrcpjanasenaparty andhrapradesh andhrapradeshelections andhrapradeshelectionswho is the next cm in andhra pradeshchandrababunaidu pawan kalyan y s jagan mohan reddy cant say  votes  final results pm  jan  ","Sanjeeva Reddy Nagar, Rajendra",0.25,"positive"
"23","pkcreativeworks tdp janasena ysrcpjanasenaparty andhrapradesh andhrapradeshelections andhrapradeshelectionswho is the next cm in andhra pradeshchandrababunaidu pawan kalyan y s jagan mohan reddy cant say  votes  final results pm  jan  ","Sanjeeva Reddy Nagar, Rajendra",0.25,"positive"
"24","i predict future happiness for andhra pradesh if they can prevent the government from wasting the labors of the people under the pretense of taking care of them janasena gantaswarupa pawankalyan andhrapradesh gantaswarupa andhrapradeshelections voteforglass  jsp  ","Sanjeeva Reddy Nagar, Rajendra",-0.75,"negative"
"25","pjanasainik tdp janasena ysrcpjanasenaparty andhrapradesh andhrapradeshelections andhrapradeshelectionswho is the next cm in andhra pradeshchandrababunaidu pawan kalyan y s jagan mohan reddy cant say  votes  final results pm  jan  ","Sanjeeva Reddy Nagar, Rajendra",0.25,"positive"
"26","pawankalyan tdp janasena ysrcpjanasenaparty andhrapradesh andhrapradeshelections andhrapradeshelectionswho is the next cm in andhra pradeshchandrababunaidu pawan kalyan y s jagan mohan reddy cant say  votes  final results pm  jan  ","Sanjeeva Reddy Nagar, Rajendra",0.25,"positive"
"27","janasenaparty tdp janasena ysrcpjanasenaparty andhrapradesh andhrapradeshelections andhrapradeshelectionswho is the next cm in andhra pradeshchandrababunaidu pawan kalyan y s jagan mohan reddy cant say  votes  final results pm  jan  ","Sanjeeva Reddy Nagar, Rajendra",0.25,"positive"
"28","janasenamedia tdp janasena ysrcpjanasenaparty andhrapradesh andhrapradeshelections andhrapradeshelectionswho is the next cm in andhra pradeshchandrababunaidu pawan kalyan y s jagan mohan reddy cant say  votes  final results pm  jan  ","Sanjeeva Reddy Nagar, Rajendra",0.25,"positive"
"29","jspveeramahila tdp janasena ysrcpjanasenaparty andhrapradesh andhrapradeshelections andhrapradeshelectionswho is the next cm in andhra pradeshchandrababunaidu pawan kalyan y s jagan mohan reddy cant say  votes  final results pm  jan  ","Sanjeeva Reddy Nagar, Rajendra",0.25,"positive"
"30","anushapspk pawankalyan tdp janasena ysrcpjanasenaparty andhrapradesh andhrapradeshelections andhrapradeshelectionswho is the next cm in andhra pradeshchandrababunaidu pawan kalyan y s jagan mohan reddy cant say  votes  final results pm  jan  ","Sanjeeva Reddy Nagar, Rajendra",0.25,"positive"
"31","tvtelugu janasenaparty pawankalyan jspshatagniteam jspsathagni tdp janasena ysrcpjanasenaparty andhrapradesh andhrapradeshelections andhrapradeshelectionswho is the next cm in andhra pradeshchandrababunaidu pawan kalyan y s jagan mohan reddy cant say  votes  final results pm  jan  ","Sanjeeva Reddy Nagar, Rajendra",0.25,"positive"
"32","shantisingaluri tdp janasena ysrcpjanasenaparty andhrapradesh andhrapradeshelections andhrapradeshelectionswho is the next cm in andhra pradeshchandrababunaidu pawan kalyan y s jagan mohan reddy cant say  votes  final results pm  jan  ","Sanjeeva Reddy Nagar, Rajendra",0.25,"positive"
"33","tdp janasena ysrcpjanasenaparty andhrapradesh andhrapradeshelections andhrapradeshelectionswho is the next cm in andhra pradeshchandrababunaidu pawan kalyan y s jagan mohan reddy cant say  votes  final results pm  jan  ","Sanjeeva Reddy Nagar, Rajendra",0.25,"positive"
"34","tdp janasena ysrcp pawankalyan ysjagan chandrababu andhrapradesh bjp apcc janasenaparty yuvakrantiyatra janmabhoomi andhrapradeshelections andhrapradeshelectionsbjpandhrapradesh rahulgandhi prajasankalpayatra who is the next cm in andhra pradesh","Sanjeeva Reddy Nagar, Rajendra",0,"neutral"
"35","the heaviest penalty for declining to rule is to be ruled by someone inferior to yourselfgantaswarupa gantaswarupa pawankalyan janasenapartygavemewings janasena janasenaparty godisalwaysright voteforglass  andhrapradesh andhrapradeshelections withyou withyoupk  votes  final results pm  jan  ","Sanjeeva Reddy Nagar, Rajendra",-1.75,"negative"
"36","spurthikolipaka satvika trspartyonline tswithkcr ktrtrs the greatest and most powerful revolutions often start very quietly hidden in the shadows remember thatpawankalyan janasenapartygantaswarupa janasena janasenapartygavemewings jspveeramahila pawankalyanisalwaysright jspfornewagepolitics janasenatruthfulpolitics jsp","Sanjeeva Reddy Nagar, Rajendra",1,"positive"
"37","sainadhcultpspk gantaswarupa janasenaparty jspshatagniteam jspveeramahila kapilvarala trendpspk nadendlamanohar aadhihyper teluguchegu srivijayanagesh janasainiks pawankalyan the greatest and most powerful revolutions often start very quietly hidden in the shadows remember thatpawankalyan janasenapartygantaswarupa janasena janasenapartygavemewings jspveeramahila pawankalyanisalwaysright jspfornewagepolitics janasenatruthfulpolitics jsp","Sanjeeva Reddy Nagar, Rajendra",1,"positive"
"38","mahitha the greatest and most powerful revolutions often start very quietly hidden in the shadows remember thatpawankalyan janasenapartygantaswarupa janasena janasenapartygavemewings pawankalyanisalwaysright jspfornewagepolitics janasenatruthfulpolitics jsp ","Sanjeeva Reddy Nagar, Rajendra",1,"positive"
"39","madhurashmi the greatest and most powerful revolutions often start very quietly hidden in the shadows remember thatpawankalyan janasenapartygantaswarupa janasena janasenapartygavemewings pawankalyanisalwaysright jspfornewagepolitics janasenatruthfulpolitics jsp ","Sanjeeva Reddy Nagar, Rajendra",1,"positive"
"40","janasenabsu pawankalyan tdp janasena ysrcpjanasenaparty andhrapradesh andhrapradeshelections andhrapradeshelectionswho is the next cm in andhra pradeshchandrababunaidu pawan kalyan y s jagan mohan reddy cant say  votes  final results pm  jan  ","Sanjeeva Reddy Nagar, Rajendra",0.25,"positive"
"41","nandiharika the greatest and most powerful revolutions often start very quietly hidden in the shadows remember thatpawankalyan janasenapartygantaswarupa janasena janasenapartygavemewings jspveeramahila pawankalyanisalwaysright jspfornewagepolitics janasenatruthfulpolitics jsp","Sanjeeva Reddy Nagar, Rajendra",1,"positive"
"42","drbhavg the greatest and most powerful revolutions often start very quietly hidden in the shadows remember thatpawankalyan janasenapartygantaswarupa janasena janasenapartygavemewings jspveeramahila pawankalyanisalwaysright jspfornewagepolitics janasenatruthfulpolitics jsp","Sanjeeva Reddy Nagar, Rajendra",1,"positive"
"43","tvtelugu janasenaparty pawankalyan tdp janasena ysrcpjanasenaparty andhrapradesh andhrapradeshelections andhrapradeshelectionswho is the next cm in andhra pradeshchandrababunaidu pawan kalyan y s jagan mohan reddy cant say  votes  final results pm  jan  ","Sanjeeva Reddy Nagar, Rajendra",0.25,"positive"
"44","kalyanipriyan the greatest and most powerful revolutions often start very quietly hidden in the shadows remember thatpawankalyan janasenapartygantaswarupa janasena janasenapartygavemewings pawankalyanisalwaysright jspfornewagepolitics janasenatruthfulpolitics jsp ","Sanjeeva Reddy Nagar, Rajendra",1,"positive"
"45","sonalchauhan the greatest and most powerful revolutions often start very quietly hidden in the shadows remember thatpawankalyan janasenapartygantaswarupa janasena janasenapartygavemewingspawankalyanisalwaysright jspfornewagepolitics janasenatruthfulpolitics jsp ","Sanjeeva Reddy Nagar, Rajendra",1,"positive"
"46","vineelad the greatest and most powerful revolutions often start very quietly hidden in the shadows remember thatpawankalyan janasenapartygantaswarupa janasena janasenapartygavemewings pawankalyanisalwaysright jspfornewagepolitics janasenatruthfulpolitics jsp ","Sanjeeva Reddy Nagar, Rajendra",1,"positive"
"47","satvika the greatest and most powerful revolutions often start very quietly hidden in the shadows remember thatpawankalyan janasenapartygantaswarupa janasena janasenapartygavemewings pawankalyanisalwaysright jspfornewagepolitics janasenatruthfulpolitics jsp ","Sanjeeva Reddy Nagar, Rajendra",1,"positive"
"48","gantaswarupa pasagadaprashad janasenaparty the greatest and most powerful revolutions often start very quietly hidden in the shadows remember thatpawankalyan janasenapartygantaswarupa janasena janasenapartygavemewings jspveeramahila pawankalyanisalwaysright jspfornewagepolitics janasenatruthfulpolitics jsp","Sanjeeva Reddy Nagar, Rajendra",1,"positive"
"49","gantaswarupa nagindra the greatest and most powerful revolutions often start very quietly hidden in the shadows remember thatpawankalyan janasenapartygantaswarupa janasena janasenapartygavemewings jspveeramahila pawankalyanisalwaysright jspfornewagepolitics janasenatruthfulpolitics jsp","Sanjeeva Reddy Nagar, Rajendra",1,"positive"
"50","pawankalyan sir with due respect your post is not in a social media format you missed hastag  in future please mention janasena janasenaparty in every post jagorejago jspprogram gantaswarupa  tenali pawankalyan gantaswarupa sankranticelebrations  sankranthi sankranti   jsp","Sanjeeva Reddy Nagar, Rajendra",1.25,"positive"
"52","gantaswarupa the greatest and most powerful revolutions often start very quietly hidden in the shadows remember thatpawankalyan janasenapartygantaswarupa janasena janasenapartygavemewings jspveeramahila pawankalyanisalwaysright jspfornewagepolitics janasenatruthfulpolitics jsp ","Sanjeeva Reddy Nagar, Rajendra",1,"positive"
"53","pawankalyan the greatest and most powerful revolutions often start very quietly hidden in the shadows remember thatpawankalyan janasenapartygantaswarupa janasena janasenapartygavemewings jspveeramahila pawankalyanisalwaysright jspfornewagepolitics janasenatruthfulpolitics jsp","Sanjeeva Reddy Nagar, Rajendra",1,"positive"
"55","gantaswarupa tdp janasena ysrcpjanasenaparty andhrapradesh andhrapradeshelections andhrapradeshelectionswho is the next cm in andhra pradeshchandrababunaidu pawan kalyan y s jagan mohan reddy cant say  votes  final results pm  jan  ","Sanjeeva Reddy Nagar, Rajendra",0.25,"positive"
"56","priyamucharla pinkcancerian nandiharika the greatest and most powerful revolutions often start very quietly hidden in the shadows remember thatpawankalyan janasenapartygantaswarupa janasena janasenapartygavemewings jspveeramahila pawankalyanisalwaysright jspfornewagepolitics janasenatruthfulpolitics jsp","Sanjeeva Reddy Nagar, Rajendra",1,"positive"
"57","visitor priyamucharla the greatest and most powerful revolutions often start very quietly hidden in the shadows remember thatpawankalyan janasenapartygantaswarupa janasena janasenapartygavemewings jspveeramahila pawankalyanisalwaysright jspfornewagepolitics janasenatruthfulpolitics jsp","Sanjeeva Reddy Nagar, Rajendra",1.25,"positive"
"58","gantaswarupa the greatest and most powerful revolutions often start very quietly hidden in the shadows remember thatpawankalyan janasenapartygantaswarupa janasena janasenapartygavemewings jspveeramahila pawankalyanisalwaysright jspfornewagepolitics janasenatruthfulpolitics jsp","Sanjeeva Reddy Nagar, Rajendra",1,"positive"
"59","the greatest and most powerful revolutions often start very quietly hidden in the shadows remember thatpawankalyan janasenapartygantaswarupa janasena janasenapartygavemewings jspveeramahila pawankalyanisalwaysright jspfornewagepolitics janasenatruthfulpolitics jsp ","Sanjeeva Reddy Nagar, Rajendra",1,"positive"
"60","jaijayudu gantaswarupa the greatest and most powerful revolutions often start very quietly hidden in the shadows remember thatpawankalyan janasenapartygantaswarupa janasena janasenapartygavemewings jspveeramahila pawankalyanisalwaysright jspfornewagepolitics janasenatruthfulpolitics jsp","Sanjeeva Reddy Nagar, Rajendra",1,"positive"
"61","mymission mymotivationproviding the most uptodate natural political information and resources that will most benefit you exposingcorporategovernment and massmedia massmediahype that diverts you away from what is truth janasena gantaswarupa apelections trs ","Sanjeeva Reddy Nagar, Rajendra",3,"positive"
"63","udayr drsrinubabu tdp janasena ysrcpjanasenaparty andhrapradesh andhrapradeshelections andhrapradeshelectionswho is the next cm in andhra pradeshchandrababunaidu pawan kalyan y s jagan mohan reddy cant say  votes  final results pm  jan  ","Sanjeeva Reddy Nagar, Rajendra",0.25,"positive"
"64","vote for glass forget all others nowgantaswarupa janasena","Sanjeeva Reddy Nagar, Rajendra",-0.5,"negative"
"65","srivarun gantaswarupa the greatest and most powerful revolutions often start very quietly hidden in the shadows remember thatpawankalyan janasenapartygantaswarupa janasena janasenapartygavemewings jspveeramahila pawankalyanisalwaysright jspfornewagepolitics janasenatruthfulpolitics jsp","Sanjeeva Reddy Nagar, Rajendra",1,"positive"
"66","tvtelugu janasenaparty pawankalyan tdp janasena ysrcpjanasenaparty andhrapradesh andhrapradeshelections andhrapradeshelectionswho is the next cm in andhra pradeshchandrababunaidu pawan kalyan y s jagan mohan reddy cant say  votes  final results pm  jan   ","Sanjeeva Reddy Nagar, Rajendra",0.25,"positive"
"67","bolisettisatya tdp janasena ysrcpjanasenaparty andhrapradesh andhrapradeshelections andhrapradeshelectionswho is the next cm in andhra pradeshchandrababunaidu pawan kalyan y s jagan mohan reddy cant say  votes  final results pm  jan  ","Sanjeeva Reddy Nagar, Rajendra",0.25,"positive"
"68","chandrababucelebratesankrantiatnaravaripalli tvkumbhmela hindusmakarajyothi sabarimalaysjaganattackaccusedsrinivascomedianalicelebratessankranthiinorphanage sankranthiinorphanage visakhapatnam tvexclusive janasena comedianali will vote for which party in ap","Sanjeeva Reddy Nagar, Rajendra",0,"neutral"
"69","follow this thread janasena ","India",0,"neutral"
"70","only reason why ill vote for janasena hope for maarpu vote for janasena ","",0.6,"positive"
"71","young leader into janasena  ","Vizag, INDIA",0.65,"positive"
"72","tdp mla and cadre attack janasena cadre in janmabhoomimaavooru janmabhoomi ","Vizag, INDIA",-0.75,"negative"
"73","westgodavari janasena meet today ","Vizag, INDIA",0,"neutral"
"74","tdp media spreading rumors on alliance with janasena  ","Vizag, INDIA",-0.6,"negative"
"75","aakula into janasena on st ","Vizag, INDIA",0,"neutral"
"76","village level committees soon in janasena ","Vizag, INDIA",0.4,"positive"
"77","aakula into janasena tomorrow ","Vizag, INDIA",0,"neutral"
"78","advantage janasena in case of hung assembly ","Vizag, INDIA",1,"positive"
"79","janasena for constructive criticism says pawankalyan ","Vizag, INDIA",0,"neutral"
"80","janasena voters being removed by tdp ","Vizag, INDIA",0,"neutral"
"81","pawankalyan full length interview in new year janasena ","Vizag, INDIA",0.8,"positive"
"82","communists ask vijayawada as seat sharing talks begin with janasena ","Vizag, INDIA",0,"neutral"
"83","janasena  left seat sharing talks ","Vizag, INDIA",0,"neutral"
"84","vote janasena for scam free govt calls pawankalyan ","Vizag, INDIA",0,"neutral"
"85","pawan gearsup janasena ranks for pollstrendpspk  pawannkalyanfan  pspkfc pawankalyan janasena  voteforglass newsof ","Hyderabad, India",0,"neutral"
"86","janasena gets one more mla on its countjspsupport  trendpspk  pawankalyanfan janasena pawankalyan newsof","Hyderabad, India",0,"neutral"
"87","pawankalyan launches new jsp program jagorejagowhich will be launched in tenali tomorrow evening where people from different walks of life come together in this winter to share our problemspains amp to awaken the lethargic leadership of our indian democracyjanasena ","Hyderabad, India",1.85,"positive"
"88","pawan to get the first list for mp seatspawannkalyanfan  janasenaparty  pspkfc pawankalyan janasena  voteforglass  newsof","Hyderabad, India",0,"neutral"
"89","honest feedback from common man in andhrapradesh on capable ncbn leadershipevery poor family in andhra should have received similar benefits irrespective of the the party tdp ysrcp janasena they supportpl call  if anyone didnt getbewithbabu mallinuvveravali ","Singapore",2.35,"positive"
"90","pspk rocks  craze ka baap  east or west your craze is the best   janasena ap ts india ","Bengaloooru",0.25,"positive"
"91","i have deep respect and reverence for our culture animals and mother nature  pawankalyan janasena voteforglasstumbler    party tdp ysrcp janasena they supportpl call  if anyone didnt getbewithbabu mallinuvveravali ","Hyderabad, India",1.85,"positive"
"92","im very much ready for trilateral fight pawan kalyan   andhrapradesh apelections chandrababu elections janasena janasenaporatayatra pawankalyan prajasankalpayatra tdp ysjagan ysrcp the times ","",0.3,"positive"
"93","popular bjp leader to join pawan kalyans janasena partypawankalyan janasena janasenaporatayatra akulasatyanarayana glasstumbler elections andhrapradesh elections","",1,"positive"
"94","which political leader in andhra pradesh has more credibility ysjagan chandrababu pawankalyan janasena janasenaporatayatra sankranti makarsankranti happypongal elections survey poll","",1.25,"positive"
"95","pawan kalyans sankranti greetings to telugu people   bhogi janasena janasenaporatayatra kanuma makarasankranti pawankalyan pongal sankranti sankrantiwithsenani telugupeople the times ","",0.5,"positive"
"96","shape of you song by barackobama great words awesomeusa obama trump trumpshutdown america kaushalarmy pawankalyan janasena rgvzoomin realdonaldtrump ivankatrump kaushalmanda indvaus workfromhome ","Hyderabad, India",0.4,"positive"
"97","happy sankranthi to everyonekaushal kaushalarmy kaushalarmydebbaparaparaabba kaushalarmy bhogi sankranthi pongal viswasam janasena trs tdp vinayavidheyarama ajith janathagarage ntrkathanayakudu hanuntr alwayzramcharan pawankalyan ktrtrs kaushalmanda ","Hyderabad, India",0.75,"positive"
"98","done with vinayavideyarama  and f now its time to janasena jaijanasena voteforglass newprofilepic ","Sunnyvale, CA",0,"neutral"
"99","always with pk jai janasenapawankalyan janasena chandhupawanist pawankalyanfanha razeshtumma ","",0,"neutral"
"100","many more happy returns of the day anna iamvaruntej voteforglass chandhupawanist pawankalyan pawankalyanfanha janasena razeshtumma ","",0.75,"positive"
"101","salute brojanasena pawankalyan pawankalyanfanha razeshtumma ","",0.25,"positive"
"102","pawan kalyan first political interview ever  view point with gangadhar  janasena  tv telugu ","Chennai, India",0,"neutral"
"103","power star pawankalyan  janasena voteforglass ","Tamil Nadu",0.6,"positive"
"104","best edit of the decade massssssssssss  janasenajanasenaparty  must watch ","India",0.5,"positive"
"105","maarpu modalayyindi ninna telangana lo trspartyonline vijayam nedu clear rejection of yellow party  ntrbiopic ntrkathanayakudu  change is inevitable  lets welcome the change janasena ","India",-0.35,"negative"
"106"," secs goosebumps maranamass pawankalyan janasena  of yellow party  ntrbiopic ntrkathanayakudu  change is inevitable  lets welcome the change janasena ","Hyderabad, India",-0.1,"negative"
"107"," dr ka paul asked one core rupees for party fund  dr ka paul  praja shanti  party drkapaul prajashantiparty janasena ","Palakurthi",0,"neutral"
"108","watch gabbarsingh antakshari team election campaign for janasena in gudurusubscribe    ","Hyderabad, India",0,"neutral"
"109","ashokdammu joshuajoe dear ashokdammu if you have answer please share vth me already i have asked this question for your party followers no one clarifiedif you have ans pls tell uspawan as president of yuvarayam he said after  years we will see new change means prp ill be remakes like janasena ","Hyderabad, India",2.8,"positive"
"110","heres exclusive interview promo with janasenaparty supporter nri venkata s yarrabothulajanasena janasenaparty venkatayarrabothula idreamnews idreamnagaraju ","",0.75,"positive"
"112","i added a video to a youtube playlist  dr paspuleti hari prasadh janasena sate coordinatorpromo  bvm","INDIA",0,"neutral"
"113","chandrababu naidu planning to alliance with pawan kalyan  ap elections   dot newschandrababu pawankalyan jsp janasena cbn tdp apelections appolitics ncbn  pawankalyan  janasenaparty  jaitdp ","Hyderabad, India",0.25,"positive"
"114","nri venkat speech on backward class category people  janasena pawan kalyan  dot newsnrivenkat janasena apelections appolitics pawankalyan jsp dotnews janasenaparty  jssoldiers ","Hyderabad, India",-0.25,"negative"
"115","pawan kalyan respond on internal clashes in janasena party  voteforglass  dot newspawankalyan janasena jsp voteforglass apelections appolitics dotnews","Hyderabad, India",-0.8,"negative"
"116","vishnu nagireddy emotional speech about pawan kalyan  janasena party   dot newsvishnunagireddy pawankalyan janasena jsp dotnews pawankalyan  jssoldiers jspector ","Hyderabad, India",0.25,"positive"
"117","mask man powerful speech about janasena pawan kalyan  voteforglass  dot newsmaskman pawankalyan janasena voteforglass jsp janasenaparty apelections jssoldiers janasenabsu subscribe link  ","Hyderabad, India",1,"positive"
"118","old man excellent speech about pawan kalyan and janasena party  voteforglass  dot newspawankalyan janasena jsp janasenaparty voteforglass dotnews jssoldiers janasenabsu subscribe link  ","Hyderabad, India",1.25,"positive"
"119","pawan kalyan gabbar singh team door to door campaign for janasena  voteforglass  dot newspawankalyan gabbarsingh apelections janasena jsp voteforglass dotnews jssoldiers janasenabsu subscribe link  ","Hyderabad, India",0,"neutral"
"120","janasena kalyan dileep sunkara sensational comments on ys jagan  ysrcp and trs alliance  dot newskalyandileepsunkara ysjagan janasena janasenaparty jsp ysrcp pawankalyan ktr trs federalfront jssoldiers subscribe link ","Hyderabad, India",0.5,"positive"
"121","janasena followers plan on social media  jana sena party pawan kalyan  dot newsjanasainiks janasena socialmedia jsp pawankalyan apelections appolitics dotnews jssoldiers  subscribe link  ","Hyderabad, India",0,"neutral"
"122","ka paul janasena party have  votes and praja shanti party have  votes  dot newskapaul prajashanti pawankalyan janasena appolitics jsp apelections dotnewssubscribe link  ","Hyderabad, India",0,"neutral"
"123","janasena followers door to door campaigning in villages  voteforglass  dot newsjanasenafollower pawankalyan janasena janasenaparty jsp voteforglass jssoldiers janasenabsu subscribe link  ","Hyderabad, India",-0.25,"negative"
"124","this is what pawan kalyan has to do to win ap elections   janasena party voteforglass  dot newspawankalyan janasena voteforglass jsp janasenaparty janasenani dotnews janasenaparty jssoldiers ","Hyderabad, India",0.5,"positive"
"125","ex mla divi sivaram comments on pawan kalyan  talk show with swey  dot newsdivisivaram exmla pawankalyan janasena tdp exmladivisivaram kandukur appolitics talkshowwithswey dotnews","Hyderabad, India",0.4,"positive"
"126","janasena followers nri janasena us team asthra  team trishul  team california  dot newsjanasenanri teamasthra teamtrishul teamcalifornia pawankalyan janasena jsp jssoldiers janasenabsu subscribe link  ","Hyderabad, India",0,"neutral"
"127","pawan kalyan emotional speech about janasena followers  janasena party  dot newspawankalyan janasena jsp apelections appolitics janasenaparty voteforglass jssoldiers  janasenabsu subscribe link  ","Hyderabad, India",0.25,"positive"
"128","ka paul to alliance with pawan kalyan janasena party  ka paul press meet  dot newskapaul pawankalyan janasena prajashanti appolitics jsp apelections dotnews jssoldiers janasenabsu subscribe link  ","Hyderabad, India",0,"neutral"
"129","janasena chief about youth and women participation in jagore jago programme  dot newspawankalyan janasena jsp janasenaparty voteforglass jagorejago dotnews jssoldiers janasenabsu pawankalyanfan subscribe link  ","Hyderabad, India",1,"positive"
"130","janasena chief pawan kalyan truths about janasena party  ap elections   dot newspawankalyan janasenani janasena jsp apelections elections dotnews jssoldiers ","Hyderabad, India",0,"neutral"
"131","pawan kalyan gabbar singh team sensational comments on sri reddy and balakrishna  dot newspawankalyan gabbarsingh srireddy balakrishna janasena jsp nbk dotnewssubscribe link  ","Hyderabad, India",0.5,"positive"
"132","vishnu nagireddy sensational comments on ktr meets ys jagan  janasena party  dot newsvishnunagireddy ysjagan ktr pawankalyan janasena ysrcp trs federalfront jsp jssoldiers pawankalyanfan subscribe link  ","Hyderabad, India",0.5,"positive"
"133","gabbar singh antakshari team election campaign for janasena in guduru  voteforglass  dot newspawankalyan gabbarsingh guduru srireddy balakrishna janasena jsp nbk dotnews jssoldiers subscribe link  ","Hyderabad, India",0,"neutral"
"134","nagababu released janasena stickers and posters  voteforglass  dot newsnagababu janasena pawankalyan jsp janasenafollowers voteforglass dotnews jssoldiers janasenabsu subscribe link  ","Hyderabad, India",0,"neutral"
"135","nri venkat starts campaigning in villages for janasena party  ap elections   dot newsnrivenkat janasenani pawankalyan janasena jsp apelections elections dotnews","Hyderabad, India",-0.25,"negative"
"136","vishnu nagireddy counter to ys jagan and kcr over return gift  janasena party  dot newsvishnunagireddy ysjagan kcr pawankalyan janasena ysrcp trs federalfront jsp jssoldiers janasenabsu subscribe link  ","Hyderabad, India",0.5,"positive"
